@relation 'NPS_Class-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.Remove-V-R570,4,1000,1004,221,573,372,1177,925,1466,1528'

@attribute GATS1s numeric
@attribute nBase numeric
@attribute SsssN numeric
@attribute SsOH numeric
@attribute AATS5p numeric
@attribute GATS4s numeric
@attribute AATSC3s numeric
@attribute IC5 numeric
@attribute NsOH numeric
@attribute nRot numeric
@attribute Class {Phenethylamines,Cannabinoids,Opioids,'Other substances',Benzodiazepines,Cathinones}

@data
0.626063,0,0,0,1.203741,1.146958,0.006927,4.949514,0,8,Cannabinoids
0.512441,0,0,0,1.264515,0.984457,-0.074536,5.172234,0,7,Cannabinoids
0.495613,0,0,0,1.559169,1.063613,0.030968,5.193707,0,7,Cannabinoids
0.549758,0,0,0,1.267689,0.977046,-0.093282,5.013423,0,5,Cannabinoids
0.539377,0,0,0,1.293081,1.128641,-0.055645,5.196648,0,6,Cannabinoids
0.556811,1,2.421103,0,1.287108,1.164915,0.040271,5.27509,0,5,Cannabinoids
0.541315,0,0,0,1.181003,1.172879,0.122763,4.9812,0,6,Cannabinoids
0.533934,0,0,0,1.33722,0.986189,0.118301,5.27509,0,4,Cannabinoids
0.909603,1,2.788724,10.124249,1.124209,0.547175,-0.003777,5.454087,1,3,Phenethylamines
0.663137,0,0,0,1.159718,0.810593,-0.146903,4.821522,0,7,Cannabinoids
0.501705,0,0,0,1.534485,1.033109,-0.00686,5.512036,0,4,Cannabinoids
0.845879,1,0,0,1.316498,1.195035,0.015705,4.952591,0,7,Phenethylamines
0.559029,0,0,0,1.166873,1.035636,0.085008,4.831133,0,5,Cannabinoids
0.603381,0,0,0,1.299143,1.137147,0.037,5.266915,0,6,Cannabinoids
0.547525,0,0,0,1.22315,0.843342,-0.066225,5.245447,0,8,Cannabinoids
0.568506,0,0,0,1.163028,1.029419,-0.079391,4.894196,0,7,Cannabinoids
0.558159,0,0,0,1.178496,1.191021,-0.044908,5.065448,0,8,Cannabinoids
0.5717,0,0,0,1.25111,1.317601,0.040023,5.277569,0,7,Cannabinoids
0.566805,0,0,0,1.473795,1.343106,0.087217,5.496967,0,7,Cannabinoids
0.552592,0,0,0,1.272366,1.00118,-0.10978,4.972466,0,5,Cannabinoids
0.52363,0,0,0,1.221886,0.771731,-0.097845,5.245447,0,8,Cannabinoids
0.56746,0,0,0,1.184703,1.318312,0.11685,5.026987,0,8,Cannabinoids
0.561984,1,4.471827,0,1.269228,1.163072,0.086526,5.328418,0,6,Opioids
0.569049,0,0,0,1.341083,1.131616,0.115171,5.354406,0,6,Cannabinoids
0.585347,0,0,0,1.257597,1.14841,0.0612,4.762094,0,6,Cannabinoids
0.54574,0,0,0,1.215479,1.136806,-0.05085,5.119153,0,9,Cannabinoids
0.542898,0,0,0,1.399773,1.240773,0.143427,5.319236,0,6,Cannabinoids
0.616421,0,0,0,1.194739,1.1393,0.033618,4.859258,0,7,Cannabinoids
0.543751,1,4.365682,0,1.274714,1.170996,0.092007,5.310443,0,6,Opioids
0.547745,0,0,0,1.227015,0.870554,-0.06755,5.208868,0,8,Cannabinoids
0.540201,0,0,0,1.314483,0.878616,-0.133945,5.461545,0,6,Cannabinoids
0.568506,0,0,0,1.166451,1.155368,-0.075055,4.894196,0,7,Cannabinoids
0.558159,0,0,0,1.18225,1.335701,-0.040219,5.065448,0,8,Cannabinoids
0.600796,1,0,0,1.16275,2.0452,0.141515,4.396292,0,4,Opioids
0.537928,0,0,0,1.213074,0.970534,0.03788,5.258243,0,7,Cannabinoids
0.558277,0,0,0,1.192612,0.970957,-0.053846,4.907922,0,8,Cannabinoids
0.612094,0,0,0,1.158778,1.005184,-0.121459,5.038563,0,8,Cannabinoids
0.514854,1,4.379796,0,1.262359,1.140443,0.008081,5.066109,0,6,'Other substances'
0.647003,0,0,0,1.165192,1.04074,0.049015,4.998563,0,8,Cannabinoids
0.572645,0,0,0,1.316655,1.06812,0.050805,5.42233,0,6,Cannabinoids
0.665023,1,2.616638,9.930818,1.045254,0.513158,-0.01372,5.289881,1,3,Phenethylamines
0.597577,0,0,0,1.283144,0.977568,-0.157928,5.136842,0,6,Cannabinoids
0.597577,0,0,0,1.283144,0.977568,-0.157928,5.136842,0,6,Cannabinoids
0.575553,0,0,0,1.200743,0.884233,-0.085935,5.20841,0,10,Cannabinoids
0.596657,0,0,0,1.254438,1.143391,-0.077333,5.136842,0,6,Cannabinoids
0.603738,0,0,0,1.254526,0.813595,-0.168927,4.983436,0,5,Cannabinoids
0.515576,1,2.470124,0,1.240114,0.842551,0.07218,5.403998,0,8,Opioids
0.542104,0,0,0,1.202525,1.211608,0.078776,5.021229,0,6,Cannabinoids
0.551403,0,0,0,1.173997,0.889941,-0.02414,5.074241,0,7,Cannabinoids
0.492525,0,0,0,1.24938,1.028406,0.008948,5.002964,0,8,Cannabinoids
0.560229,0,0,0,1.32936,1.035521,0.042396,5.479757,0,4,Cannabinoids
0.552427,0,0,0,1.182871,0.959306,-0.033385,4.815072,0,7,Cannabinoids
0.564656,0,0,0,1.397973,1.236677,0.07039,5.363713,0,6,Cannabinoids
0.576675,0,0,0,1.370233,1.288639,0.080421,5.397547,0,7,Cannabinoids
0.664581,0,0,0,1.243035,0.899262,-0.009001,4.723074,0,6,Cannabinoids
0.539251,0,0,0,1.309802,1.043683,-0.078561,5.461545,0,6,Cannabinoids
0.565172,1,4.449907,0,1.182377,0.884584,0.036507,5.185353,0,7,Cannabinoids
0.66932,0,0,0,1.280264,1.305181,0.120946,5.104648,0,5,Cannabinoids
0.69352,0,0,0,1.178528,0.897225,-0.037424,4.823715,0,7,Cannabinoids
0.559029,0,0,0,1.185964,1.090567,0.050112,4.831133,0,5,Cannabinoids
0.600074,0,0,0,1.218197,1.356928,0.033593,5.079001,0,8,Cannabinoids
0.616584,0,0,0,1.199635,1.170215,-0.007176,4.902312,0,7,Cannabinoids
0.548796,1,4.623605,0,1.224449,1.27234,-0.046133,5.405851,0,8,Phenethylamines
0.575553,0,0,0,1.174445,0.911949,-0.128571,5.20841,0,10,Cannabinoids
0.582095,0,0,0,1.161795,0.790736,-0.161722,5.03843,0,9,Cannabinoids
0.567159,0,0,0,1.384432,1.315598,0.093471,5.426637,0,7,Cannabinoids
0.505364,0,0,0,1.427884,1.196365,0.111328,5.487262,0,7,Cannabinoids
0.668055,0,0,0,1.214712,1.191108,0.017856,5.119522,0,8,Cannabinoids
0.564656,0,0,0,1.398206,1.248384,0.068491,5.363713,0,6,Cannabinoids
0.545862,0,0,0,1.403607,1.34119,0.093702,5.354406,0,6,Cannabinoids
0.690063,0,0,10.650593,1.222919,1.080405,0.247468,5.31359,1,7,Cannabinoids
0.583172,0,0,0,1.237072,0.878953,0.051171,5.383675,0,5,Cannabinoids
0.550328,0,0,0,1.188661,0.970012,-0.066955,4.859258,0,7,Cannabinoids
0.805647,0,0,0,1.508382,1.239915,0.047122,5.202804,0,7,Cannabinoids
0.868756,1,0,20.603016,1.174918,0.615737,-0.125413,5.231468,2,7,Phenethylamines
0.586377,0,0,0,1.184975,1.143911,0.059544,4.762094,0,6,Cannabinoids
0.530662,0,0,0,1.369427,1.17099,0.086748,5.293875,0,4,Cannabinoids
0.585595,0,0,0,1.269028,1.183011,-0.035545,5.013423,0,5,Cannabinoids
0.613353,1,0,0,1.092479,1.850435,0.111618,4.297903,0,3,Opioids
0.662967,0,0,0,1.054784,1.244024,0.093114,5.029438,0,8,Cannabinoids
0.628137,0,0,0,1.236827,0.997387,0.047066,5.156889,0,7,Cannabinoids
0.619627,0,0,0,1.205099,1.142086,0.014192,4.763074,0,6,Cannabinoids
0.567764,0,0,0,1.368697,1.138189,0.036238,5.171373,0,4,Cannabinoids
0.519814,1,4.65718,0,1.282837,1.696811,-0.001443,5.173557,0,6,Opioids
0.479912,0,1.891084,0,1.289524,1.206875,0.079781,4.913977,0,6,Cannabinoids
0.628981,0,0,0,1.218246,0.989186,0.045025,5.156889,0,7,Cannabinoids
0.590537,0,0,0,1.390431,1.212515,0.077409,5.409772,0,7,Cannabinoids
0.58365,1,4.302778,0,1.191633,1.636273,0.00374,4.874615,0,3,Phenethylamines
0.564656,0,0,0,1.376174,1.306258,0.086128,5.363713,0,6,Cannabinoids
0.564656,0,0,0,1.376174,1.306258,0.086128,5.363713,0,6,Cannabinoids
0.553359,1,0,0,1.25815,0.914304,0.052065,5.289881,0,9,Opioids
0.525556,0,1.906736,0,1.308986,1.389801,0.116171,5.304682,0,5,Cannabinoids
0.592989,1,4.533275,0,1.224295,1.196211,-0.024214,5.281728,0,8,Phenethylamines
1.202645,1,2.435479,0,1.175018,0.768929,-0.056285,5.023231,0,9,Opioids
0.49669,0,0,0,1.364719,1.041218,0.040145,5.154222,0,7,Cannabinoids
0.64938,0,0,0,1.27883,1.091761,-0.071082,5.175735,0,6,Cannabinoids
0.664806,0,0,0,1.159953,0.923622,-0.031981,4.865275,0,7,Cannabinoids
0.574331,0,0,0,1.394196,1.307783,0.099591,5.397547,0,7,Cannabinoids
0.506638,0,0,0,1.430358,1.002949,0.056641,5.487262,0,7,Cannabinoids
0.662797,0,0,0,1.161123,0.945146,-0.033642,4.821522,0,7,Cannabinoids
0.624904,0,0,0,1.208905,0.884624,0.005705,5.063,0,5,Cannabinoids
0.513582,1,4.164104,0,1.258236,1.308057,0.055618,5.066109,0,6,Opioids
0.545306,1,4.427987,0,1.263905,1.159137,0.090095,5.310443,0,6,Opioids
0.498533,1,4.142184,0,1.216287,1.136476,0.028422,5.14764,0,6,Opioids
0.600061,0,0,0,1.281804,1.225318,0.154623,4.774861,0,7,Cannabinoids
0.605427,1,0,0,1.12767,0.810956,0.072266,4.938722,0,8,Phenethylamines
0.707992,0,0,0,1.348595,1.141157,0.138141,5.305542,0,5,Cannabinoids
0.567923,0,0,0,1.291992,1.080615,0.044393,5.208411,0,6,Cannabinoids
0.665446,0,0,0,1.168052,0.895642,-0.010847,4.723074,0,6,Cannabinoids
0.519233,1,4.693312,0,1.270065,1.613758,-0.007705,5.201311,0,6,Opioids
0.565315,1,2.36017,0,1.180651,0.819087,0.020695,5.056565,0,10,Benzodiazepines
0.556806,0,0,0,1.507695,1.3948,0.094934,5.487262,0,7,Cannabinoids
0.66492,0,0,0,1.255905,0.935355,-0.105632,4.983436,0,5,Cannabinoids
0.53656,0,0,0,1.336193,1.070958,0.013352,5.202804,0,7,Cannabinoids
0.54611,1,4.545174,0,1.294563,1.363838,0.032469,5.411837,0,6,Phenethylamines
0.532078,0,0,0,1.637256,0.985715,-0.038936,4.982289,0,1,Opioids
0.524563,1,4.738374,0,1.229424,1.608695,0.000191,5.247121,0,6,Opioids
0.511453,1,4.024996,0,1.17738,0.91355,0.076828,5.185353,0,7,Opioids
0.564462,0,0,0,1.429515,1.258637,0.064403,5.298184,0,5,Cannabinoids
0.535114,1,4.218343,0,1.226874,1.105205,0.103639,5.238901,0,6,Phenethylamines
0.593743,0,0,0,1.283821,0.983902,0.042078,5.054587,0,5,Cannabinoids
0.506638,0,0,0,1.431862,1.038066,0.077474,5.487262,0,7,Cannabinoids
0.518953,0,0,0,1.660308,1.029233,-0.051166,4.936286,0,1,Opioids
0.572304,1,0,0,1.137051,0.833027,0.055794,4.995766,0,9,Phenethylamines
0.608406,1,4.299733,0,1.181467,1.319808,-0.031871,5.340184,0,9,Opioids
0.496426,1,3.970003,0,1.239283,1.099741,0.04014,5.423252,0,6,Opioids
0.560883,0,0,0,1.227108,1.05408,0.007835,5.216551,0,7,Cannabinoids
0.636385,0,0,0,1.225425,1.080395,-0.003479,5.194431,0,7,Cannabinoids
